scenario,ticker,strategy,position,entry_date,exit_date,pnl,cum_pnl,series_id,initial_balance,equity,return_pct,prev_equity,trade_return_pct
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-18,2024-06-20,252.34181400313628,13826.008970837604,SPY|short|straddle,100000.0,113826.0089708376,0.1382600897083761,113573.66715683448,0.0022218338134197615
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-20,2024-06-21,-204.77573058978942,13621.233240247815,SPY|short|straddle,100000.0,113621.23324024782,0.1362123324024782,113826.0089708376,-0.0017990240757914412
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-21,2024-06-24,556.4520898158498,14177.685330063665,SPY|short|straddle,100000.0,114177.68533006366,0.1417768533006365,113621.23324024782,0.004897430470933658
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-24,2024-06-25,74.08125535013824,14251.766585413803,SPY|short|straddle,100000.0,114251.7665854138,0.14251766585413805,114177.68533006366,0.0006488242876529237
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-25,2024-06-26,24.515323834054925,14276.281909247858,SPY|short|straddle,100000.0,114276.28190924786,0.14276281909247857,114251.7665854138,0.0002145728207688364
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-26,2024-06-27,93.94870929772378,14370.230618545582,SPY|short|straddle,100000.0,114370.23061854558,0.14370230618545587,114276.28190924786,0.0008221190585491121
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-27,2024-06-28,60.586778461999074,14430.81739700758,SPY|short|straddle,100000.0,114430.81739700757,0.14430817397007578,114370.23061854558,0.0005297425574323769
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-28,2024-07-01,439.3881227916131,14870.205519799194,SPY|short|straddle,100000.0,114870.2055197992,0.14870205519799207,114430.81739700757,0.003839770900763515
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-07-01,2024-07-02,11.598018669427802,14881.803538468623,SPY|short|straddle,100000.0,114881.80353846862,0.1488180353846862,114870.2055197992,0.00010096629162406043
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-07-02,2024-07-03,92.20034213404188,14974.003880602664,SPY|short|straddle,100000.0,114974.00388060266,0.1497400388060266,114881.80353846862,0.0008025669800976638
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-07-03,2024-07-05,311.2271772050767,15285.231057807741,SPY|short|straddle,100000.0,115285.23105780774,0.15285231057807747,114974.00388060266,0.0027069351914392544
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-07-05,2024-07-08,581.2384506685357,15866.469508476275,SPY|short|straddle,100000.0,115866.46950847628,0.15866469508476277,115285.23105780774,0.005041742514070028
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-07-08,2024-07-09,44.44392741115553,15910.913435887433,SPY|short|straddle,100000.0,115910.91343588743,0.1591091343588742,115866.46950847628,0.00038357885244707666
